buy_id,buy_amount,buy_price,sell_price,sell_amount,sell_id,is_reported,refined_sell_price
665670481,13.67,318165,,,,,320880.0
665670234,14.34,318483,,,,,320880.0
665670006,13.2,318802,,,,,320880.0
665669555,14.25,319121,,,,,320880.0
665782394,12.55,319520,,,,,321117.0
665682214,12.72,319840,321439.0,12.71,665763985.0,,321439.0
665667561,15.42,320160,321760.0,15.4,665761073.0,,321760.0
665671413,12.5,320739,322342.0,12.48,665674487.0,,322342.0
665669788,12.52,321060,322665.0,12.51,665669859.0,,322665.0
665685069,13.55,321739,323347.0,13.54,665692098.0,,323347.0
665683579,14.56,322061,323671.0,14.54,665683710.0,,323671.0
